model,training_population,training_p_noise,training_opponent,training_history_length,training_memory_label,seed,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_partial_obs_vs_hard_tft_last1_seed1,,0.0,hard_tft,1,last1,1,soft_majo,100,200,0.0,last_n,1,282.0,0.0,1.41,0.065,0.9350000000000004
q_agent_partial_obs_vs_hard_tft_last1_seed2,,0.0,hard_tft,1,last1,2,tftt,100,200,0.0,last_n,1,255.0,0.0,1.275,0.07000000000000003,0.9300000000000002
q_agent_partial_obs_vs_hard_tft_last1_seed2,,0.0,hard_tft,1,last1,2,hard_tft,100,200,0.0,last_n,1,224.0,0.0,1.12,0.04999999999999999,0.95
q_agent_partial_obs_vs_hard_tft_last1_seed2,,0.0,hard_tft,1,last1,2,cycler_ddc,100,200,0.0,last_n,1,441.0,0.0,2.205,0.11500000000000002,0.8850000000000001
q_agent_partial_obs_vs_hard_tft_last1_seed2,,0.0,hard_tft,1,last1,2,cycler_ccd,100,200,0.0,last_n,1,663.0,0.0,3.315,0.24,0.7600000000000001
q_agent_partial_obs_vs_hard_tft_last1_seed2,,0.0,hard_tft,1,last1,2,hard_majo,100,200,0.0,last_n,1,293.0,0.0,1.465,0.07999999999999999,0.9200000000000002
q_agent_partial_obs_vs_hard_tft_last1_seed2,,0.0,hard_tft,1,last1,2,soft_majo,100,200,0.0,last_n,1,303.0,0.0,1.515,0.08500000000000002,0.915
q_agent_partial_obs_vs_hard_tft_last1_seed3,,0.0,hard_tft,1,last1,3,tftt,100,200,0.0,last_n,1,283.0,0.0,1.415,0.11,0.8900000000000001
q_agent_partial_obs_vs_hard_tft_last1_seed3,,0.0,hard_tft,1,last1,3,hard_tft,100,200,0.0,last_n,1,227.0,0.0,1.135,0.065,0.9350000000000004
q_agent_partial_obs_vs_hard_tft_last1_seed3,,0.0,hard_tft,1,last1,3,cycler_ddc,100,200,0.0,last_n,1,439.0,0.0,2.195,0.125,0.875
q_agent_partial_obs_vs_hard_tft_last1_seed3,,0.0,hard_tft,1,last1,3,cycler_ccd,100,200,0.0,last_n,1,654.0,0.0,3.27,0.28000000000000014,0.7199999999999999
q_agent_partial_obs_vs_hard_tft_last1_seed3,,0.0,hard_tft,1,last1,3,hard_majo,100,200,0.0,last_n,1,389.0,0.0,1.945,0.15999999999999998,0.8400000000000002
q_agent_partial_obs_vs_hard_tft_last1_seed3,,0.0,hard_tft,1,last1,3,soft_majo,100,200,0.0,last_n,1,396.0,0.0,1.98,0.15999999999999998,0.8400000000000002
q_agent_partial_obs_vs_hard_tft_last3_seed1,,0.0,hard_tft,3,last3,1,tftt,100,200,0.0,last_n,3,646.0,0.0,3.23,0.7199999999999999,0.28000000000000014
q_agent_partial_obs_vs_hard_tft_last3_seed1,,0.0,hard_tft,3,last3,1,hard_tft,100,200,0.0,last_n,3,239.0,0.0,1.195,0.135,0.8649999999999999
q_agent_partial_obs_vs_hard_tft_last3_seed1,,0.0,hard_tft,3,last3,1,cycler_ddc,100,200,0.0,last_n,3,224.0,0.0,1.12,0.87,0.13
q_agent_partial_obs_vs_hard_tft_last3_seed1,,0.0,hard_tft,3,last3,1,cycler_ccd,100,200,0.0,last_n,3,421.0,0.0,2.105,0.905,0.09500000000000001
q_agent_partial_obs_vs_hard_tft_last3_seed1,,0.0,hard_tft,3,last3,1,hard_majo,100,200,0.0,last_n,3,705.0,0.0,3.525,0.7300000000000003,0.27
q_agent_partial_obs_vs_hard_tft_last3_seed1,,0.0,hard_tft,3,last3,1,soft_majo,100,200,0.0,last_n,3,708.0,0.0,3.54,0.7300000000000003,0.27
q_agent_partial_obs_vs_hard_tft_last3_seed2,,0.0,hard_tft,3,last3,2,tftt,100,200,0.0,last_n,3,644.0,0.0,3.22,0.7399999999999999,0.26
q_agent_partial_obs_vs_hard_tft_last3_seed2,,0.0,hard_tft,3,last3,2,hard_tft,100,200,0.0,last_n,3,238.0,0.0,1.19,0.11,0.8900000000000001
q_agent_partial_obs_vs_hard_tft_last3_seed2,,0.0,hard_tft,3,last3,2,cycler_ddc,100,200,0.0,last_n,3,221.0,0.0,1.105,0.8850000000000001,0.11500000000000002
q_agent_partial_obs_vs_hard_tft_last3_seed2,,0.0,hard_tft,3,last3,2,cycler_ccd,100,200,0.0,last_n,3,416.0,0.0,2.08,0.9300000000000002,0.07000000000000003
q_agent_partial_obs_vs_hard_tft_last3_seed2,,0.0,hard_tft,3,last3,2,hard_majo,100,200,0.0,last_n,3,699.0,0.0,3.495,0.7450000000000001,0.2549999999999999
q_agent_partial_obs_vs_hard_tft_last3_seed2,,0.0,hard_tft,3,last3,2,soft_majo,100,200,0.0,last_n,3,702.0,0.0,3.51,0.7450000000000001,0.2549999999999999
q_agent_partial_obs_vs_hard_tft_last3_seed3,,0.0,hard_tft,3,last3,3,tftt,100,200,0.0,last_n,3,651.0,0.0,3.255,0.7300000000000003,0.27
q_agent_partial_obs_vs_hard_tft_last3_seed3,,0.0,hard_tft,3,last3,3,hard_tft,100,200,0.0,last_n,3,237.0,0.0,1.185,0.11,0.8900000000000001
q_agent_partial_obs_vs_hard_tft_last3_seed3,,0.0,hard_tft,3,last3,3,cycler_ddc,100,200,0.0,last_n,3,219.0,0.0,1.095,0.8949999999999996,0.10500000000000002
